Coverage Type,State,Rated Flood Zones, Policies in Force , Premium + FPF ,Total Annual Payment, Building Coverage , Contents Coverage , Total Coverage 
 Contents Only , TENNESSEE , X Zone , 210 ," $209,855 "," $282,160 ", $-   ," $46,920,000 "," $46,920,000 "
 Contents Only , TEXAS , All A Zones ," 3,252 "," $2,451,407 "," $3,397,126 ", $-   ," $431,749,000 "," $431,749,000 "
 Contents Only , TEXAS , All V Zones , 126 ," $101,512 "," $142,803 ", $-   ," $13,030,000 "," $13,030,000 "
 Contents Only , TEXAS , Unknown or Invalid , 411 ," $162,983 "," $245,035 ", $-   ," $52,612,000 "," $52,612,000 "
 Contents Only , TEXAS , X Zone ," 7,431 "," $3,736,489 "," $5,390,976 ", $-   ," $1,089,704,000 "," $1,089,704,000 "
 Contents Only , UTAH , All A Zones , 23 ," $17,617 "," $25,669 ", $-   ," $6,467,000 "," $6,467,000 "
 Contents Only , UTAH , Unknown or Invalid , 1 , $308 , $380 , $-   ," $100,000 "," $100,000 "
 Contents Only , UTAH , X Zone , 24 ," $8,711 "," $12,479 ", $-   ," $3,712,000 "," $3,712,000 "
 Contents Only , VERMONT , All A Zones , 91 ," $119,463 "," $159,794 ", $-   ," $12,756,000 "," $12,756,000 "
 Contents Only , VERMONT , Unknown or Invalid , 6 ," $6,710 "," $9,367 ", $-   ," $1,935,000 "," $1,935,000 "
 Contents Only , VERMONT , X Zone , 38 ," $30,286 "," $41,317 ", $-   ," $5,255,000 "," $5,255,000 "
 Contents Only , VIRGINIA , All A Zones , 329 ," $330,439 "," $435,854 ", $-   ," $54,047,000 "," $54,047,000 "
 Contents Only , VIRGINIA , All V Zones , 15 ," $5,681 "," $7,850 ", $-   ," $1,258,000 "," $1,258,000 "
 Contents Only , VIRGINIA , D Zone , 1 , $243 , $528 , $-   ," $50,000 "," $50,000 "
 Contents Only , VIRGINIA , Unknown or Invalid , 1 , $250 , $537 , $-   ," $53,000 "," $53,000 "
 Contents Only , VIRGINIA , X Zone , 455 ," $171,638 "," $249,235 ", $-   ," $61,361,000 "," $61,361,000 "
 Contents Only , VIRGIN ISLANDS , All A Zones , 40 ," $19,419 "," $31,451 ", $-   ," $10,269,000 "," $10,269,000 "
 Contents Only , VIRGIN ISLANDS , All V Zones , 3 , $837 ," $1,712 ", $-   ," $432,000 "," $432,000 "
 Contents Only , VIRGIN ISLANDS , X Zone , 24 ," $6,743 "," $11,732 ", $-   ," $3,290,000 "," $3,290,000 "
 Contents Only , WASHINGTON , All A Zones , 196 ," $222,035 "," $303,042 ", $-   ," $52,433,000 "," $52,433,000 "
 Contents Only , WASHINGTON , All V Zones , 6 ," $3,056 "," $4,605 ", $-   ," $561,000 "," $561,000 "
 Contents Only , WASHINGTON , Unknown or Invalid , 14 ," $14,685 "," $19,585 ", $-   ," $3,363,000 "," $3,363,000 "
 Contents Only , WASHINGTON , X Zone , 234 ," $210,493 "," $285,326 ", $-   ," $59,391,000 "," $59,391,000 "
 Contents Only , WEST VIRGINIA , All A Zones , 67 ," $122,088 "," $158,222 ", $-   ," $11,008,000 "," $11,008,000 "
 Contents Only , WEST VIRGINIA , X Zone , 29 ," $25,020 "," $34,280 ", $-   ," $4,399,000 "," $4,399,000 "
 Contents Only , WISCONSIN , All A Zones , 39 ," $44,132 "," $60,370 ", $-   ," $11,290,000 "," $11,290,000 "
 Contents Only , WISCONSIN , X Zone , 72 ," $40,173 "," $56,922 ", $-   ," $11,443,000 "," $11,443,000 "
 Contents Only , WYOMING , All A Zones , 1 , $583 , $929 , $-   ," $80,000 "," $80,000 "
 Contents Only , WYOMING , D Zone , 1 ," $1,019 "," $1,444 ", $-   ," $400,000 "," $400,000 "
 Contents Only , WYOMING , X Zone , 7 ," $2,171 "," $4,027 ", $-   ," $557,000 "," $557,000 "
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
